frame_number,id,xmin,ymin,width,height,visibility,class,confidence
1,-1,1126,823,93,102,1,1,0.826892
2,-1,1152,824,68,100,1,1,0.696261
3,-1,1164,825,56,100,1,1,0.6883239999999999
4,-1,1171,826,53,98,1,1,0.8521839999999999
5,-1,1170,825,53,99,1,1,0.8641759999999999
6,-1,1170,820,61,98,1,1,0.840985
7,-1,1177,820,58,92,1,1,0.826167
8,-1,1181,823,55,102,1,1,0.769401
9,-1,1186,817,54,103,1,1,0.806955
9,-1,1898,266,23,67,1,1,0.512169
10,-1,1186,822,61,105,1,1,0.861857
10,-1,1897,268,24,65,1,1,0.30444
11,-1,1187,822,60,105,1,1,0.862498
11,-1,1897,267,24,67,1,1,0.273461
12,-1,1188,818,68,104,1,1,0.8672799999999999
13,-1,1198,818,64,93,1,1,0.62064
14,-1,1198,819,64,92,1,1,0.566194
15,-1,1198,817,69,97,1,1,0.757154
15,-1,1856,219,65,115,1,1,0.411033
16,-1,1196,816,76,102,1,1,0.904929
16,-1,1853,217,68,116,1,1,0.34879499999999997
17,-1,1196,816,76,103,1,1,0.90333
17,-1,1852,220,69,113,1,1,0.315171
18,-1,1201,817,76,101,1,1,0.880242
19,-1,1843,217,77,113,1,1,0.9074369999999999
19,-1,1250,806,76,104,1,1,0.8691099999999999
20,-1,1827,214,93,116,1,1,0.965969
20,-1,1257,811,72,91,1,1,0.767281
21,-1,1820,221,99,108,1,1,0.92479
21,-1,1274,816,61,85,1,1,0.7810039999999999
22,-1,1812,220,104,108,1,1,0.9648129999999999
22,-1,1248,808,92,100,1,1,0.885864
23,-1,1813,220,103,108,1,1,0.96126
23,-1,1249,807,92,101,1,1,0.8914599999999999
24,-1,1246,803,101,108,1,1,0.953606
24,-1,1807,221,104,107,1,1,0.9535739999999999
25,-1,1802,211,102,118,1,1,0.9280459999999999
25,-1,1255,817,98,92,1,1,0.891601
26,-1,1802,215,98,113,1,1,0.942526
26,-1,1270,818,84,91,1,1,0.9240499999999999
27,-1,1284,819,74,88,1,1,0.748856
27,-1,1802,214,96,114,1,1,0.6305799999999999
28,-1,1793,219,98,111,1,1,0.877923
28,-1,1304,817,59,88,1,1,0.825657
29,-1,1793,219,98,111,1,1,0.8723099999999999
29,-1,1305,817,58,88,1,1,0.815399
30,-1,1794,220,96,110,1,1,0.8812639999999999
30,-1,1310,815,59,92,1,1,0.881232
31,-1,1314,815,60,90,1,1,0.903477
31,-1,1793,216,95,113,1,1,0.856938
32,-1,1795,215,90,113,1,1,0.883192
32,-1,1318,813,60,89,1,1,0.7582
33,-1,1799,216,81,109,1,1,0.9555009999999999
33,-1,1320,811,64,94,1,1,0.85361
34,-1,1799,218,78,105,1,1,0.957154
34,-1,1324,812,64,93,1,1,0.91238
35,-1,1799,217,78,105,1,1,0.9550639999999999
35,-1,1324,812,64,92,1,1,0.907539
36,-1,1791,216,84,110,1,1,0.975024
36,-1,1323,808,71,98,1,1,0.9242199999999999
37,-1,1791,215,82,110,1,1,0.972676
37,-1,1323,808,75,96,1,1,0.9355129999999999
37,-1,1061,-1,34,28,1,1,0.267216
38,-1,1780,216,86,111,1,1,0.979506
38,-1,1341,812,64,75,1,1,0.763268
38,-1,1061,-1,34,28,1,1,0.26397
39,-1,1771,215,93,112,1,1,0.984617
39,-1,1344,812,65,74,1,1,0.825542
39,-1,1061,-1,33,28,1,1,0.281099
40,-1,1761,216,98,108,1,1,0.978999
40,-1,1350,812,62,75,1,1,0.746622
40,-1,1061,-1,34,29,1,1,0.30047999999999997
41,-1,1761,217,97,108,1,1,0.980783
41,-1,1348,814,62,80,1,1,0.678551
41,-1,1061,-1,34,29,1,1,0.30261899999999997
42,-1,1750,218,103,108,1,1,0.9750169999999999
42,-1,1340,813,79,83,1,1,0.688338
42,-1,1061,-1,34,29,1,1,0.296494
43,-1,1744,220,106,106,1,1,0.969742
43,-1,1351,810,75,85,1,1,0.759022
43,-1,1061,-1,33,28,1,1,0.292412
44,-1,1740,219,107,106,1,1,0.968935
44,-1,1355,810,78,81,1,1,0.638953
44,-1,1061,-1,33,28,1,1,0.294169
45,-1,1740,219,103,107,1,1,0.9729329999999999
45,-1,1358,810,80,87,1,1,0.741636
45,-1,1061,-1,33,28,1,1,0.251003
46,-1,1740,217,99,109,1,1,0.970459
46,-1,1369,808,80,84,1,1,0.838711
47,-1,1740,217,99,109,1,1,0.974139
47,-1,1370,808,77,84,1,1,0.845046
48,-1,1743,216,95,112,1,1,0.971509
48,-1,1372,809,76,82,1,1,0.832405
49,-1,1742,215,93,112,1,1,0.973776
49,-1,1384,807,63,79,1,1,0.802294
50,-1,1747,213,85,115,1,1,0.969806
50,-1,1389,807,62,77,1,1,0.8450249999999999
51,-1,1746,211,82,115,1,1,0.981209
51,-1,1390,809,58,93,1,1,0.6611819999999999
52,-1,1747,211,79,116,1,1,0.9779359999999999
52,-1,1401,808,56,77,1,1,0.7167819999999999
53,-1,1400,808,58,76,1,1,0.647783
53,-1,1745,211,81,115,1,1,0.9800519999999999
54,-1,1744,210,77,114,1,1,0.9768509999999999
54,-1,1402,801,74,104,1,1,0.896817
55,-1,1739,209,79,116,1,1,0.978197
55,-1,1404,804,73,99,1,1,0.946658
56,-1,1738,209,77,115,1,1,0.9670679999999999
56,-1,1405,803,74,101,1,1,0.9050779999999999
57,-1,1729,210,81,114,1,1,0.963598
57,-1,1409,804,79,100,1,1,0.931492
58,-1,1722,210,86,113,1,1,0.960399
58,-1,1420,805,74,98,1,1,0.873649
59,-1,1723,210,85,112,1,1,0.963248
59,-1,1421,805,73,99,1,1,0.857788
60,-1,1713,211,92,109,1,1,0.9577819999999999
60,-1,1392,806,105,97,1,1,0.8922019999999999
61,-1,1709,212,92,107,1,1,0.9238729999999999
61,-1,1421,808,74,96,1,1,0.749092
62,-1,1708,211,89,107,1,1,0.917345
62,-1,1432,813,71,91,1,1,0.8091809999999999
63,-1,1701,211,92,107,1,1,0.951368
63,-1,1434,813,72,95,1,1,0.7992889999999999
64,-1,1700,211,91,107,1,1,0.9439919999999999
64,-1,1425,812,92,94,1,1,0.825499
65,-1,1699,211,92,107,1,1,0.944236
65,-1,1441,811,80,95,1,1,0.736405
66,-1,1700,211,86,107,1,1,0.9679949999999999
66,-1,1449,809,74,97,1,1,0.911373
67,-1,1706,210,76,107,1,1,0.9591949999999999
67,-1,1450,810,74,94,1,1,0.9013899999999999
68,-1,1464,811,94,88,1,1,0.9161309999999999
68,-1,1691,202,78,114,1,1,0.8506889999999999
69,-1,1468,812,86,86,1,1,0.887714
69,-1,1677,199,82,122,1,1,0.787484
69,-1,1626,197,131,157,1,1,0.526641
70,-1,1629,197,126,159,1,1,0.9218219999999999
70,-1,1476,813,81,83,1,1,0.866348
71,-1,1629,197,127,159,1,1,0.933369
71,-1,1477,813,81,83,1,1,0.8634649999999999
72,-1,1479,811,84,88,1,1,0.893926
72,-1,1630,196,122,161,1,1,0.887666
73,-1,1481,811,83,87,1,1,0.841703
73,-1,1631,196,119,160,1,1,0.6841889999999999
74,-1,1490,806,85,92,1,1,0.826801
74,-1,1633,197,113,160,1,1,0.8076869999999999
74,-1,1670,201,77,120,1,1,0.379226
75,-1,1633,198,108,160,1,1,0.860282
75,-1,1486,805,92,94,1,1,0.806574
76,-1,1632,202,102,156,1,1,0.913821
76,-1,1486,805,99,94,1,1,0.884042
77,-1,1633,201,102,156,1,1,0.917766
77,-1,1490,806,95,92,1,1,0.8646119999999999
78,-1,1632,201,96,157,1,1,0.9405899999999999
78,-1,1499,804,88,95,1,1,0.905701
79,-1,1631,196,97,158,1,1,0.965453
79,-1,1517,805,75,91,1,1,0.813697
80,-1,1631,196,97,157,1,1,0.961584
80,-1,1517,804,80,98,1,1,0.881311
81,-1,1631,195,98,162,1,1,0.97634
81,-1,1521,801,82,105,1,1,0.940275
82,-1,1631,192,101,165,1,1,0.968355
82,-1,1527,801,74,106,1,1,0.901534
83,-1,1630,193,101,164,1,1,0.9691409999999999
83,-1,1527,801,75,107,1,1,0.9209849999999999
84,-1,1629,193,101,164,1,1,0.894613
84,-1,1527,802,80,106,1,1,0.825097
85,-1,1629,191,97,163,1,1,0.9478399999999999
85,-1,1527,802,82,108,1,1,0.781369
86,-1,1632,190,90,164,1,1,0.924797
86,-1,1528,802,87,106,1,1,0.842375
87,-1,1631,191,87,163,1,1,0.938264
87,-1,1525,800,96,109,1,1,0.899037
88,-1,1630,189,89,166,1,1,0.946796
88,-1,1530,803,95,103,1,1,0.864421
89,-1,1630,190,89,165,1,1,0.944778
89,-1,1527,802,99,104,1,1,0.861768
90,-1,1628,190,85,166,1,1,0.9234169999999999
90,-1,1547,805,86,100,1,1,0.8926569999999999
91,-1,1617,190,96,164,1,1,0.921211
91,-1,1539,806,94,100,1,1,0.895698
92,-1,1529,808,104,97,1,1,0.9224749999999999
92,-1,1610,191,98,154,1,1,0.88788
93,-1,1535,808,101,98,1,1,0.8860239999999999
93,-1,1601,194,98,125,1,1,0.818078
94,-1,1553,807,87,100,1,1,0.9251379999999999
94,-1,1597,193,86,105,1,1,0.847892
95,-1,1555,807,84,99,1,1,0.9214899999999999
95,-1,1598,193,85,105,1,1,0.842846
96,-1,1555,809,89,98,1,1,0.908354
96,-1,1591,193,91,105,1,1,0.903423
97,-1,1586,193,93,104,1,1,0.9633039999999999
97,-1,1571,807,79,100,1,1,0.9010269999999999
98,-1,1586,192,89,104,1,1,0.9649
98,-1,1576,808,80,100,1,1,0.900365
99,-1,1585,191,87,106,1,1,0.9637119999999999
99,-1,1580,806,80,102,1,1,0.865621
100,-1,1587,191,82,105,1,1,0.9620059999999999
100,-1,1582,807,79,99,1,1,0.74512
101,-1,1588,191,81,105,1,1,0.964069
101,-1,1581,807,80,98,1,1,0.738958
102,-1,1591,190,77,106,1,1,0.947912
102,-1,1590,808,77,94,1,1,0.8830739999999999
103,-1,1590,187,75,108,1,1,0.912419
103,-1,1589,808,82,94,1,1,0.88222
104,-1,1589,806,87,98,1,1,0.8689749999999999
104,-1,1581,185,80,112,1,1,0.8672479999999999
105,-1,1587,807,94,101,1,1,0.9149039999999999
105,-1,1582,183,78,114,1,1,0.847649
106,-1,1583,183,72,114,1,1,0.958676
106,-1,1594,811,84,93,1,1,0.8455619999999999
107,-1,1584,182,71,114,1,1,0.959232
107,-1,1590,811,87,94,1,1,0.867779
108,-1,1581,180,71,116,1,1,0.968159
